0,1.7566,2.2149,1.3253,-1.3980
1,1.7566,2.2149,0.5196,-0.9952
2,0.9509,1.8120,1.3253,-0.5924
3,0.9509,1.4092,1.7281,-0.1895
4,-0.2576,1.0064,1.3253,-0.9952
5,0.5481,0.6035,1.7281,-1.8009
6,0.9509,1.4092,1.3253,-1.3980
7,-0.2576,1.0064,0.9225,-1.8009
8,-0.2576,0.6035,0.1168,-1.8009
9,-0.6604,0.6035,-0.2860,-2.2037
10,-1.0633,0.2007,0.5196,-3.0094
11,-1.0633,-0.2021,0.5196,-3.0094
12,-1.0633,0.2007,-0.2860,-3.0094
13,-0.6604,-0.6050,-0.6889,-3.0094
14,-0.6604,-0.2021,-1.0917,-2.2037
15,-0.6604,-0.2021,0.1168,-3.4122
16,-0.6604,-0.6050,0.9225,-2.6065
17,-1.4661,-1.0078,-1.0917,-3.8150
18,-1.0633,-1.0078,-0.2860,-3.4122
19,-1.4661,-1.4106,-1.0917,-3.0094
20,-1.0633,-1.0078,-0.6889,-3.0094
21,-1.4661,0.2007,-0.6889,-2.6065
22,-1.0633,0.2007,0.1168,-3.8150
23,-1.0633,-0.2021,-1.0917,-3.0094
24,-0.2576,1.0064,0.1168,-3.8150
25,-0.6604,0.6035,0.1168,-3.4122
26,-0.2576,0.2007,0.1168,-2.6065
27,0.1452,0.2007,0.5196,-2.2037
28,0.5481,1.0064,0.5196,-2.2037
29,0.1452,1.8120,0.1168,-0.9952
30,0.9509,1.4092,0.5196,-1.8009
31,-0.6604,1.8120,0.9225,-1.3980
32,1.3537,1.4092,1.3253,-1.3980
33,0.5481,2.6177,1.3253,-2.6065
34,0.5481,1.8120,2.1310,-1.3980
35,0.5481,1.4092,2.1310,-0.9952
36,2.1594,2.2149,2.9366,-0.9952
37,2.1594,2.6177,2.5338,-1.3980
38,1.3537,3.0205,1.3253,-1.3980
39,0.9509,2.2149,1.7281,-0.9952
40,0.9509,3.0205,1.7281,-0.9952
41,1.7566,1.8120,1.7281,-0.9952
