123,-1.0633,-0.6050,0.5196,0.2133
124,-1.0633,0.2007,0.1168,1.0190
125,-0.6604,0.6035,-1.8974,1.4218
126,-1.8689,0.6035,0.5196,0.2133
127,-0.6604,-1.0078,0.5196,1.8246
128,-0.6604,0.2007,0.9225,1.0190
129,-1.0633,1.0064,-0.6889,1.4218
130,-0.2576,-0.2021,1.3253,1.4218
131,-1.8689,1.0064,2.5338,0.6161
132,0.5481,1.0064,0.5196,3.4359
133,-0.6604,1.4092,2.1310,2.2274
134,0.5481,1.4092,0.5196,3.4359
135,0.9509,2.2149,1.3253,3.0331
136,0.1452,2.6177,1.3253,3.8388
137,1.3537,2.6177,1.7281,2.2274
138,1.3537,2.6177,1.3253,2.6303
139,0.5481,3.0205,1.7281,3.8388
140,2.5622,2.2149,2.1310,4.6444
141,0.1452,2.6177,4.1451,2.6303
142,1.3537,3.4234,1.7281,3.0331
143,2.9650,3.0205,1.7281,4.6444
144,2.5622,3.0205,2.9366,2.2274
145,2.5622,3.8262,1.3253,2.2274
146,2.1594,3.0205,1.7281,4.2416
147,2.9650,2.6177,2.1310,1.8246
148,3.7707,3.0205,1.3253,1.8246
149,1.7566,3.4234,1.7281,4.2416
150,2.1594,3.8262,0.1168,2.6303
151,3.3679,2.6177,1.7281,1.8246
152,2.5622,2.6177,1.7281,0.6161
153,0.9509,2.6177,0.5196,1.8246
154,2.9650,2.2149,1.3253,0.2133
155,1.3537,1.8120,-0.6889,1.4218
156,0.1452,2.2149,0.9225,0.6161
157,0.9509,2.2149,0.9225,1.0190
158,0.1452,1.4092,-1.0917,1.4218
159,-1.0633,1.4092,0.5196,0.6161
160,0.9509,0.6035,0.5196,0.6161
161,-1.0633,0.2007,-0.6889,1.4218
162,-1.0633,1.0064,-0.2860,-0.1895
163,-0.2576,0.2007,0.1168,-0.5924
164,-0.6604,1.0064,-1.8974,2.2274
165,-0.6604,-0.6050,0.5196,1.4218
166,-1.8689,0.2007,-1.0917,2.2274
167,0.1452,-0.2021,0.1168,0.6161
168,-1.0633,1.0064,-0.2860,3.0331
169,-1.8689,1.0064,0.5196,1.0190
170,-0.6604,1.0064,0.5196,0.6161
171,0.5481,1.0064,0.1168,1.0190
172,-1.0633,0.6035,0.1168,3.4359
173,0.5481,0.6035,2.5338,1.0190
174,-1.0633,1.4092,0.9225,2.2274
175,-0.2576,1.8120,2.1310,3.8388
176,0.1452,2.2149,1.7281,1.8246
177,0.9509,2.2149,0.9225,3.8388
178,0.5481,2.2149,1.7281,3.0331
179,2.5622,2.2149,2.1310,3.4359
180,0.1452,2.2149,4.1451,2.2274
181,1.7566,3.0205,1.7281,2.6303
182,2.5622,1.4092,4.1451,3.4359
183,0.5481,3.4234,4.1451,1.8246
184,1.7566,4.2290,3.7423,1.4218
185,2.5622,4.2290,2.1310,2.2274
186,2.1594,2.2149,3.7423,3.0331
187,1.7566,3.8262,3.7423,2.2274
188,1.3537,3.8262,1.7281,1.4218
189,2.9650,3.0205,0.9225,4.2416
190,3.3679,2.2149,2.5338,2.2274
191,2.1594,3.0205,2.5338,0.6161
192,1.7566,2.6177,0.9225,2.6303
193,1.7566,2.6177,0.5196,2.6303
194,0.9509,2.2149,1.3253,2.2274
195,-0.2576,2.2149,1.3253,2.6303
196,0.9509,1.8120,0.9225,1.8246
197,0.9509,2.2149,0.5196,1.8246
198,0.1452,1.8120,-0.2860,0.2133
199,0.5481,1.8120,0.1168,1.8246
200,-0.2576,1.4092,-0.2860,2.2274
